Date,Name,Year,Letterboxd URI
2019-12-06,Iron Man,2008,https://boxd.it/28dA
2019-12-06,The Incredible Hulk,2008,https://boxd.it/28dU
2019-12-06,Iron Man 2,2010,https://boxd.it/1WZM
2019-12-06,Thor,2011,https://boxd.it/1WQU
2019-12-06,Captain America: The First Avenger,2011,https://boxd.it/28b0
2019-12-06,The Avengers,2012,https://boxd.it/1xFW
2019-12-08,Iron Man 3,2013,https://boxd.it/2cBQ
2019-12-08,Thor: The Dark World,2013,https://boxd.it/2DqA
2019-12-08,Captain America: The Winter Soldier,2014,https://boxd.it/3r58
2019-12-08,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2019-12-08,Avengers: Age of Ultron,2015,https://boxd.it/3qi6
2019-12-08,Ant-Man,2015,https://boxd.it/3vmW
2019-12-08,Captain America: Civil War,2016,https://boxd.it/89Ja
2019-12-08,Doctor Strange,2016,https://boxd.it/8MH8
2019-12-08,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC
2019-12-08,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2019-12-09,Black Panther,2018,https://boxd.it/8MHs
2019-12-09,Avengers: Infinity War,2018,https://boxd.it/9vEe
2019-12-11,Ant-Man and the Wasp,2018,https://boxd.it/cqUW
2019-12-11,Captain Marvel,2019,https://boxd.it/9vSA
2019-12-12,Avengers: Endgame,2019,https://boxd.it/9vE4
2019-12-22,X-Men,2000,https://boxd.it/1a7s
2019-12-22,X2,2003,https://boxd.it/1a7i
2019-12-23,X-Men: The Last Stand,2006,https://boxd.it/1a5Q
2019-12-23,The Wolverine,2013,https://boxd.it/2CWU
2019-12-24,X-Men: Days of Future Past,2014,https://boxd.it/4aRw
2019-12-24,Deadpool,2016,https://boxd.it/9fOC
2019-12-24,X-Men: Apocalypse,2016,https://boxd.it/7eJi
2019-12-25,Deadpool 2,2018,https://boxd.it/dlLM
2019-12-25,Batman Begins,2005,https://boxd.it/2aIg
2019-12-25,Incredibles 2,2018,https://boxd.it/7IPg
2019-12-28,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2019-12-31,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2019-12-31,Toy Story 4,2019,https://boxd.it/9ALu
2020-01-01,The Irishman,2019,https://boxd.it/dYOq
2020-01-02,Her,2013,https://boxd.it/4O24
2020-01-03,The Dark Knight,2008,https://boxd.it/2b0k
2020-01-03,The Dark Knight Rises,2012,https://boxd.it/H3m
2020-01-04,Joker,2019,https://boxd.it/h4cS
2020-01-05,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2020-01-06,Prisoners,2013,https://boxd.it/4E5i
2020-01-18,Marriage Story,2019,https://boxd.it/hJAw
2020-01-19,Gone Girl,2014,https://boxd.it/6hQu
2020-01-20,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2020-01-23,Fast & Furious,2009,https://boxd.it/1Pnm
2020-02-05,Terminator Genisys,2015,https://boxd.it/35s0
2020-04-21,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK
2020-04-27,Knives Out,2019,https://boxd.it/jWEA
2020-04-29,Bad Boys for Life,2020,https://boxd.it/15pc
2020-05-01,The Call of the Wild,2020,https://boxd.it/hjDE
2021-05-03,Ocean's Eleven,2001,https://boxd.it/2aZm
2021-05-03,Ocean's Twelve,2004,https://boxd.it/2aZ2
2021-05-03,Ocean's Thirteen,2007,https://boxd.it/2aEy
2021-07-15,The Tomorrow War,2021,https://boxd.it/lE78
2021-07-15,Godzilla vs. Kong,2021,https://boxd.it/e0qK
2021-07-15,Black Widow,2021,https://boxd.it/hWV8
2021-07-16,The Raid,2011,https://boxd.it/3hBy
2021-07-16,Mortal Kombat,2021,https://boxd.it/gswA
2021-10-14,Free Guy,2021,https://boxd.it/k8dm
2021-10-21,Dune,2021,https://boxd.it/fA7G
2021-10-22,The Green Knight,2021,https://boxd.it/kuy2
2021-10-23,Superman Returns,2006,https://boxd.it/28J2
2021-10-24,Man of Steel,2013,https://boxd.it/FRk
2021-10-27,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW
2021-10-28,Suicide Squad,2016,https://boxd.it/9row
2021-10-29,Wonder Woman,2017,https://boxd.it/9roG
2021-11-01,Zack Snyder's Justice League,2021,https://boxd.it/tLOk
2021-11-02,Wonder Woman 1984,2020,https://boxd.it/gBtA
2021-11-04,The SpongeBob Movie: Sponge Out of Water,2015,https://boxd.it/6JxU
2021-11-06,Aquaman,2018,https://boxd.it/9ru0
2021-11-07,Shazam!,2019,https://boxd.it/8WBu
2021-11-09,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq
2021-11-20,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS
